Date,EUR,INR,ISK,JPY,KRW,NOK
12-15-2014,0.80234,62.518002,123.610001,118.165001,1103.099976,7.35744
12-16-2014,0.80363,63.167999,123.050003,117.740997,1097.900024,7.45272
12-17-2014,0.79923,63.653,124.239998,116.612999,1079.5,7.44347
12-18-2014,0.81044,63.518002,125.470001,118.795998,1098.900024,7.43425
12-19-2014,0.81364,62.983002,126.18,118.938004,1097.5,7.3741
12-22-2014,0.81793,63.240002,126.160004,119.497002,1099.300049,7.36538
12-23-2014,0.81808,63.223,126.209999,120.150002,1099.099976,7.42809
12-24-2014,0.82136,63.432999,126.160004,120.690002,1106.099976,7.4213
12-25-2014,0.81977,63.400002,126.160004,120.459,1103.199951,7.44322
12-26-2014,0.819,63.513,126.160004,120.370003,1102.099976,7.4351
12-29-2014,0.82173,63.59,126.480003,120.424004,1105.599976,7.46495
12-30-2014,0.82281,63.662998,126.860001,120.632004,1098.800049,7.44972
12-31-2014,0.82223,63.377998,126.599998,119.458,1095.300049,7.41632
01-01-2015,0.82654,63.028,126.860001,119.672997,1092.699951,7.4527
01-02-2015,0.82717,63.028,127.739998,119.870003,1093.599976,7.45578
01-05-2015,0.83707,63.278,128.869995,120.433998,1111,7.60364
01-06-2015,0.83759,63.338001,129.210007,119.425003,1108.5,7.6338
01-07-2015,0.84208,63.568001,129.699997,118.672997,1097.300049,7.74367
01-08-2015,0.84488,63.272999,130.360001,119.289001,1097.800049,7.6975
01-09-2015,0.84774,62.667999,129.940002,119.792,1094.300049,7.6199
01-12-2015,0.84241,62.348,130.100006,118.211998,1081.800049,7.64423
01-13-2015,0.8452,62.068001,130.070007,118.328003,1081.400024,7.7398
01-14-2015,0.84902,61.973,130.190002,117.794998,1077.099976,7.73657
01-15-2015,0.84847,62.088001,131.050003,117.389999,1082,7.6199
01-16-2015,0.8593,62.057999,131.460007,116.129997,1075.5,7.59952
01-19-2015,0.8646,61.862999,131.600006,117.559998,1078,7.5532
01-20-2015,0.86222,61.638,131.410004,117.711998,1079.099976,7.63762
01-21-2015,0.86603,61.647999,131.679993,118.649002,1086.699951,7.6825
01-22-2015,0.86093,61.553001,131.470001,117.860001,1081.900024,7.5747
01-23-2015,0.88131,61.598,134.639999,118.750999,1084.699951,7.65437
01-26-2015,0.89884,61.432999,134.589996,117.361,1084.5,7.7872
01-27-2015,0.88907,61.473,133.720001,118.519997,1079.300049,7.78544
01-28-2015,0.87971,61.403,132.630005,117.775002,1076.699951,7.7319
01-29-2015,0.88641,61.351002,133.320007,117.592003,1084.400024,7.8181
01-30-2015,0.88218,61.796001,132.619995,118.248001,1098.800049,7.8143
02-02-2015,0.88425,62.013,132.550003,117.183998,1099,7.71701
02-03-2015,0.8817,61.728001,132.309998,117.574997,1098.099976,7.64745
02-04-2015,0.8728,61.613998,131.020004,117.646004,1091.300049,7.53098
02-05-2015,0.88349,61.860001,131.039993,117.288002,1087.599976,7.6258
02-06-2015,0.87169,61.733002,130.899994,117.535004,1084.800049,7.51082
02-09-2015,0.88383,61.963001,131.910004,118.970001,1096.699951,7.6073
02-10-2015,0.88285,62.130001,132.389999,118.563004,1094.099976,7.59494
02-11-2015,0.88324,62.341999,132.110001,119.358002,1097.599976,7.5717
02-12-2015,0.88402,62.382,131.820007,120.169998,1105.699951,7.67222
02-13-2015,0.87689,62.169998,130.919998,118.916,1101.199951,7.63884
02-16-2015,0.87719,62.069,131.050003,118.57,1095.400024,7.5696
02-17-2015,0.8823,62.186001,131.369995,118.491997,1100.199951,7.57985
02-18-2015,0.87683,62.112,131.470001,119.208,1107.300049,7.5187
02-19-2015,0.87719,62.074001,131.179993,118.689003,1107.599976,7.5243
